,fid,교육시설_sum,근린생활시설_sum,문화시설_sum,숙박시설_sum,업무시설_sum,의료시설_sum,주거시설_sum,판매시설_sum,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이
500,898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876.1909308180051,2057.914409582307,1819.2374598055806,173.43712500939117,4.25,14978,0.0
501,916,0.0,0.0,0.0,0.0,0.0,0.0,1901.87,0.0,1234.9676598980254,2340.7149864419825,345.4755432089693,192.52191903328014,4.16666666666667,7044,199.703331240055
502,917,0.0,0.0,0.0,0.0,0.0,0.0,3507.8394,0.0,1140.8343473848759,2244.1614700222335,312.53615986861206,128.3342085601986,4.25,7044,528.09689607928
503,918,0.0,1738.55,0.0,1557.1,0.0,0.0,3991.413,0.0,1047.788346627548,2147.9232496243694,309.8449040679404,34.403349050470716,3.5,7044,461.421138031863
504,919,0.0,409.47,0.0,1148.09,0.0,0.0,1907.932,0.0,956.1471405885384,2052.0446866417933,338.12481573184624,76.79212156369918,2.0,7044,255.97010069010202
505,920,0.0,1674.15,0.0,630.74,12433.45,0.0,340.87,0.0,866.356631857221,1956.578654857768,390.7076023461434,120.09515148619923,2.5,7044,219.603119592714
506,921,0.0,3052.67,0.0,1130.308,21337.59,0.0,10259.1966,0.0,779.0569919095834,1861.5886216547815,459.32121998989606,125.99293413647085,2.5,7044,362.91091547950106
507,922,0.0,6487.945,0.0,1906.165,15087.9545,0.0,8645.9,0.0,695.1872436270501,1767.151348037785,537.865270133808,121.68374414147604,2.0,7044,296.092994755297
508,923,0.0,10017.465,0.0,5318.31,0.0,0.0,3826.37,0.0,616.1496041819883,1673.3604227504138,622.592665860243,37.57516759266267,1.5,13815,302.169677518352
509,924,0.0,3274.08,0.0,636.62,3654.75,0.0,11474.639,0.0,544.0541239090397,1580.3309302012908,711.2972089281776,68.38150192956947,1.5,6771,313.942511281941
510,925,0.0,776.34,0.0,0.0,9324.359,0.0,28676.805,0.0,482.0259004662764,1488.2056714120174,742.5865019675008,82.81667285353682,1.5,6771,356.183675239275
511,926,0.0,507.81,0.0,0.0,13081.7433,0.0,14933.935,0.0,434.39909263141806,1397.1635261730112,734.0810539171539,56.41385434895338,1.0,6771,304.157592806021
512,927,0.0,649.42,0.0,0.0,7951.68,4258.52,17498.1434,0.0,406.27047469814767,1307.4307799195394,739.1310986344411,99.21831614714479,1.0,6771,389.227090875583
513,928,0.0,4351.96,0.0,0.0,7409.7480000000005,0.0,11040.43,0.0,401.75657993129494,1219.2965581206654,757.465560039527,124.33639595919323,0.5,6771,330.220594323951
514,929,0.0,1538.66,0.0,0.0,0.0,0.0,23602.875,0.0,421.61656086611083,1133.133917935289,788.1578996347142,76.49301815432345,0.5,15429,241.77898904061902
515,930,0.0,566.8,0.0,0.0,0.0,0.0,7111.68,0.0,462.72262020633485,1049.42859798608,829.8380452189155,120.0297687857202,2.0,15429,333.559969528504
516,931,0.0,0.0,0.0,0.0,0.0,0.0,224.29,0.0,520.0610022672304,968.8177411268713,880.9477818022762,165.3509318590849,2.5,8658,47.1407101351548
517,932,0.0,0.0,0.0,0.0,0.0,0.0,44.11,0.0,588.9093248374247,892.1405582851669,880.583166741909,211.57213968058056,2.0,8658,0.0
518,933,0.0,0.0,0.0,0.0,0.0,0.0,55.08,0.0,547.1532096566042,820.5006172528996,787.5119670499276,170.30568185178862,1.5,8658,0.0
519,934,0.0,0.0,0.0,0.0,0.0,0.0,353.02,0.0,468.83303108105963,755.3325605662828,696.3641328038059,121.83157066330088,1.5,8658,0.0
520,935,0.0,27.54,0.0,0.0,0.0,0.0,101.11,0.0,400.28952046470255,698.4502975497942,608.0052920519191,73.83080916911916,1.0,32482,258.239945412752
521,936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.35932738721834,652.0259858388048,523.8486302167712,95.56336847218407,1.0,32482,91.5204993065369
522,937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.93838620544585,618.4193409233104,446.2777858027024,93.53722726579807,1.0,23824,0.0
523,938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.60735316309183,599.7887988367119,379.3545298640525,72.35645252225798,0.5,23824,0.0
524,939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.1933368850736,597.5368207482302,329.62915383744826,98.2413582715247,0.5,23824,0.0
525,940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.9402443635817,611.8442841535464,305.61482506014136,62.60177891296008,0.0,23824,10.572032969843699
526,941,0.0,3573.46,0.0,0.0,93409.05,0.0,0.0,0.0,472.00127912825036,641.604341407393,313.28100171850406,14.491017656935654,0.0,23824,145.613670162969
527,942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.644247621142,684.8053451401876,350.5553783389786,103.45773994008695,0.0,23824,147.716583053601
528,943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.3207696464452,739.094119522875,409.4297046282412,194.3506144810016,0.0,23824,0.0
529,944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.9166983963287,802.2227877903799,482.0537472983715,126.997014439666,0.0,38802,94.1140635674315
530,945,0.0,123.37,0.0,0.0,0.0,0.0,0.0,0.0,815.1550803758392,872.2741610024427,563.1327286206936,120.34881839743345,0.0,14978,10.1676713649805
531,946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.8902863280958,947.7143818749638,649.508004035308,181.2152051797466,0.5,14978,0.0
532,947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.5028950459839,1027.3570042735719,739.3256028781514,264.5770149580729,0.5,14978,100.94298747446699
533,948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.4150821748514,1110.2980707035936,831.4707266887741,346.44257783414446,0.5,14978,0.0
534,949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.8913437991273,1195.8514641633967,925.2482445869475,430.42323849426003,0.5,14978,0.0
535,950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.6416114559452,1283.4949044856585,1020.2081069022464,341.81519631199757,0.5,14978,7.98404045770237
536,951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.4940564820371,1372.8281546838095,1116.0485523337886,261.55422607799824,0.5,14978,112.811574092658
537,952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.7239151908192,1463.5418141306436,1212.5607957757186,199.95779176006783,1.33333333333333,14978,0.0
538,953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.2576054617839,1555.3943770252185,1309.5963188094552,177.6376771634421,3.3333333333333304,14978,0.0
539,954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.2825614025866,1648.1954439357883,1407.046863301051,146.75363814614823,5.0,14978,97.5039469031558
540,955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.5915113602389,1741.7934153303656,1504.831802995985,82.10489453287956,5.33333333333333,14978,38.1117264408084
541,956,0.0,0.0,0.0,0.0,0.0,0.0,86.49,0.0,671.369112608857,1836.066422802022,1602.889939331,18.19348085465815,4.33333333333333,14978,0.0
542,957,0.0,313.35,0.0,0.0,0.0,0.0,202.41,0.0,734.8831348911248,1926.978054224515,1701.1740306036422,32.026419441760176,2.6666666666666696,14978,0.0
543,976,0.0,80.05,0.0,0.0,0.0,0.0,1009.67,0.0,1206.2529321825323,2317.2535992198596,436.7603805899228,93.61891458115115,3.5,7044,119.797731017446
544,977,0.0,814.17,0.0,0.0,0.0,0.0,3992.857,0.0,1109.68644509745,2219.6797663221128,411.1996214088948,110.81005862363578,2.5,7044,474.51407767099505
545,978,0.0,2617.295,2541.53,262.36,2874.84,0.0,14901.65,0.0,1013.7856785239679,2122.3316930780497,409.1578446848998,21.46163764046092,2.5,7044,411.070931603855
546,979,283.2,1267.14,0.0,0.0,3934.11,0.0,2686.415,0.0,918.759121334996,2025.2419347725036,430.96945334473526,92.96157967956064,2.5,7044,327.586077552244
547,980,0.0,2538.59,0.0,0.0,0.0,0.0,7734.635,0.0,824.9089462479535,1928.4495071869433,473.34840465736886,77.35190249703176,2.5,7044,200.74972997187697
548,981,0.0,3030.38,0.0,0.0,10521.04,0.0,15638.405,0.0,732.687342370933,1832.0015386637954,531.3965273648754,95.2533977033478,2.5,7044,248.916795280062
549,982,0.0,3021.93,0.0,711.145,53402.3093,0.0,7121.05,0.0,642.7956434582862,1735.9554435686139,600.5874965621969,91.06608410036054,2.5,13815,388.92385474532205
550,983,0.0,5569.08,0.0,0.0,24322.75,0.0,9452.45,0.0,556.3643251836241,1640.3818137686276,677.5159978797392,61.004156918401186,2.0,13815,367.867559790382
551,984,0.0,3287.65,0.0,601.32,711.51,0.0,13263.68,0.0,475.2849786533989,1545.3683108964515,759.8355271810694,55.54745260040215,2.0,6771,389.482830252773
552,985,0.0,4737.41,0.0,0.0,2660.04,0.0,13117.358999999999,0.0,402.8025385179192,1451.0249709063992,841.5619999642269,49.23446586505439,1.5,6771,390.63606213445
553,986,0.0,2061.57,0.0,0.0,9164.22,0.0,16788.539,0.0,344.388566370071,1357.4915265117731,834.0664719484537,147.5197154080613,0.5,6771,298.23090072360196
554,987,0.0,2379.515,0.0,0.0,11257.226999999999,4258.52,3569.64,0.0,308.1503038542029,1264.9476476951054,838.5145600712322,174.99023784968506,0.5,6771,225.48696956797198
555,988,0.0,2717.93,0.0,0.0,8600.45,0.0,23456.32,0.0,302.1742219148822,1173.6274480226489,854.7198156465608,201.87300849923264,0.5,6771,278.197116014376
556,989,0.0,1111.04,0.0,0.0,4224.18,0.0,9460.09,0.0,328.1180222455822,1083.8402790926855,882.0344477661902,173.9811502194229,0.5,15429,268.713151724853
557,990,0.0,1700.25,0.0,733.98,0.0,0.0,10133.14,0.0,379.4906298713602,996.0008247533383,919.4689112846124,87.70540406965341,2.0,15429,332.313643997231
558,991,0.0,429.17,313.18,0.0,0.0,0.0,6278.51,0.0,447.62078292383654,910.6728631792125,948.5682804256338,71.5161311801908,2.5,8658,176.158093668328
559,992,0.0,0.0,0.0,0.0,0.0,0.0,80.19,0.0,526.0371830559263,828.6326164470274,851.1936509255305,150.12127756844274,2.0,8658,0.0
560,993,0.0,0.0,0.0,0.0,0.0,0.0,33.71,0.0,610.1134679913453,750.9583815622998,754.5058012777467,114.68871594241621,1.5,8658,0.0
561,994,0.0,7707.59,0.0,0.0,0.0,0.0,0.0,0.0,540.9863342759603,679.1498340787867,658.8071804344821,123.1228658168836,1.5,8658,110.75541411511601
562,995,0.0,1174.82,0.0,0.0,0.0,0.0,0.0,0.0,482.7975750051066,615.2641968389662,564.6010289213924,89.10943978563023,1.0,11483,258.109851393233
563,996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.90941965683487,562.0098710713394,472.7803578451262,26.45285905212881,1.0,32482,264.263072321908
564,997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.06907232568807,522.6468089856236,385.05549692400564,53.520648388990075,1.0,23824,0.0
565,998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.57926096639227,500.4635922762412,304.98152189300237,41.577397528863685,1.0,23824,0.0
566,999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.35901689909673,497.7624493046654,240.33153293570203,79.3769517938281,0.5,23824,0.0
567,1000,0.0,4236.95,0.0,0.0,0.0,0.0,0.0,0.0,484.99756588947173,514.8501074792773,206.16567800945762,45.72088920989462,0.0,23824,103.670860472915
568,1001,0.0,8476.75,0.0,0.0,181043.3688,0.0,0.0,0.0,543.7343198260343,549.8848414798188,217.36801027619572,89.36324606291309,0.0,23824,0.0
569,1002,0.0,0.0,0.0,0.0,93409.05,0.0,0.0,0.0,613.2461958338777,599.729583311836,268.3150033702843,153.4896189118534,0.0,23824,104.043444639246
570,1003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.2856635968127,661.042612694579,341.6673151099771,164.16410218167104,0.0,23824,0.0
571,1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.6041758479895,730.9436551374583,426.00433264609717,171.9267414939082,0.0,38802,104.130806215524
572,1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.5898873536247,807.2047117470024,515.9673949897385,216.92467923664424,0.0,14978,0.0
573,1006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.7977668944759,888.1890535431039,609.0685823365156,237.7233199888428,0.5,14978,59.295521222831105
574,1007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.7185730077346,972.7176730631392,704.0640931930975,288.25013088301006,0.5,14978,41.6474740187556
575,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.2006030977221,1059.9429591406783,800.2796265649785,360.08807722433295,0.5,14978,0.0
576,1009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.8773028586154,1149.2510649394335,897.3228171090445,399.7144152571485,1.0,14978,0.0
577,1010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.29675461407453,1240.192111080515,994.9515161825027,302.23347382315063,0.5,14978,0.0
578,1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.65637991472954,1332.4317854953363,1093.0088403296606,207.16672929899056,0.5,14978,66.58475975809459
579,1012,0.0,2447.25,0.0,0.0,0.0,0.0,0.0,0.0,441.7275361370758,1425.718058417954,1191.3889602326333,120.37672885453951,2.5,14978,77.8846263858933
580,1013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.15246209438277,1519.8582268343744,1290.0180262769647,77.86258448829203,6.75,14978,182.949199744849
581,1014,0.0,0.0,0.0,0.0,0.0,0.0,536.79,0.0,483.48734154380617,1614.702946597447,1388.8430025448981,116.02456902867823,9.5,14978,335.924203261181
582,1015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0504652268053,1704.0378979795817,1487.8248510333603,18.351988163869407,9.33333333333333,14978,201.57654830792
583,1036,0.0,307.23,0.0,0.0,0.0,0.0,188.585,0.0,1185.3044619351886,2297.9080393708578,531.1924659886006,21.536762707663765,2.42857142857143,7044,22.7435731802863
584,1037,0.0,1801.2,0.0,0.0,0.0,0.0,2501.865,0.0,1086.878337448888,2199.4761525305285,510.38312359067197,63.77079341958974,1.33333333333333,7044,351.678048293006
585,1038,0.0,1444.73,0.0,0.0,0.0,0.0,17937.83,0.0,988.7678698195912,2101.1922481569127,508.739565924046,81.02756554791118,2.0,7044,323.21947096080896
586,1039,0.0,170.98,0.0,0.0,0.0,0.0,7038.39,0.0,891.0773296395488,2003.0781092853185,526.4413312001129,106.83981003025033,2.0,7044,375.096775609049
587,1040,0.0,3860.735,0.0,0.0,0.0,0.0,628.975,0.0,793.9617380254492,1905.1599644410044,561.6622834245894,8.060209835801443,1.2,7044,209.265050562132
588,1041,0.0,3971.98,0.0,0.0,0.0,0.0,17881.99,0.0,697.661237659141,1807.4696673317983,611.3821081929615,72.33051883926446,1.0,7044,119.45481113442499
589,1042,0.0,1852.03,0.0,0.0,10930.2333,4855.26,11666.323,0.0,602.5667520324495,1710.046267375102,672.3921177269641,35.610975234877756,1.0,13815,325.625283116334
590,1043,3710.64,1569.305,0.0,0.0,0.0,4855.26,3422.93,0.0,509.3542046709617,1612.9381280218531,741.9122279032985,69.25925933908952,2.5,6771,475.659432418364
591,1044,3392.4,491.56,0.0,0.0,711.51,0.0,8248.1,0.0,419.28063157520324,1516.2058247822033,817.774947043453,83.16385326218182,2.5,6771,188.138907551067
592,1045,97.6,149.2,0.0,0.0,1873.08,0.0,13770.79,0.0,334.8885146551342,1419.9261711080512,898.374916323683,124.68838882623743,1.5,6771,360.531020154615
593,1046,221.68,390.59,0.0,0.0,6053.26,0.0,21636.995,0.0,261.732522851954,1324.197904283432,934.0547624473388,186.77588065862662,0.5,6771,385.884587924539
594,1047,0.0,982.2,0.0,0.0,0.0,0.0,10577.47,0.0,211.79479886532698,1229.1498598779913,938.028830928075,231.38511559464226,1.0,6771,263.86438798278704
595,1048,0.0,2184.32,120.0,371.12,0.0,0.0,48808.16,0.0,203.00169253481502,1134.9529489751164,952.5425899033023,186.4443965756656,1.0,6771,253.95881974907797
596,1049,0.0,4012.17,0.0,1332.995,765.42,0.0,35135.21,0.0,239.92053799802517,1041.8380607143993,977.1264979722943,99.02436492578619,1.5,15429,267.113058917198
597,1050,0.0,4134.64,0.0,1585.705,0.0,0.0,6720.335,0.0,306.45320845112974,950.1233725885523,1011.0462452476672,69.63951213115986,1.5,8658,297.33993744219396
598,1051,0.0,2875.92,239.3,1646.77,0.0,0.0,4984.6179999999995,0.0,387.6400397579194,860.2568404482124,932.140134926475,41.96646955948545,2.0,8658,362.434359760635
599,1052,0.0,1251.19,0.0,468.81,0.0,0.0,960.05,0.0,476.0415516668634,772.883412915011,832.846964617908,131.91825653136885,2.0,8658,120.938572258481
600,1053,0.0,430.99,0.0,0.0,0.0,0.0,266.85,0.0,568.300839731369,688.9522758455106,733.7454786048222,40.668028139388404,1.8333333333333302,11483,200.748331508563
601,1054,0.0,10836.3,0.0,0.0,0.0,0.0,2820.92,0.0,620.9086435058726,609.8862491021349,634.9254395945499,60.494852575280724,1.8,11483,242.300912528766
