,grid,rank,grid_tmp
537,2652,2652,2652
508,2652,2652,2652
1767,2652,2652,2652
681,2652,2652,2652
476,2652,2652,2652
297,2652,2652,2652
1366,2652,2652,2652
448,2652,2652,2652
1177,2652,2652,2652
181,2652,2652,2652
1106,2652,2652,2652
519,2652,2652,2652
59,2652,2652,2652
319,2652,2652,2652
862,2652,2652,2652
1047,2652,2652,2652
1586,2652,2652,2652
337,2652,2652,2652
866,2652,2652,2652
1764,2652,2652,2652
828,2652,2652,2652
2258,2652,2652,2652
1991,2652,2652,2652
720,2652,2652,2652
1264,2652,2652,2652
30,2652,2652,2652
1503,2652,2652,2652
238,2652,2652,2652
633,2652,2652,2652
256,2652,2652,2652
242,2652,2652,2652
900,2652,2652,2652
491,2652,2652,2652
2533,2652,2652,2652
2591,2652,2652,2652
1633,2652,2652,2652
3,2652,2652,2652
453,2652,2652,2652
159,2652,2652,2652
695,2652,2652,2652
282,2652,2652,2652
835,2652,2652,2652
1356,2652,2652,2652
1418,2652,2652,2652
680,2652,2652,2652
2063,2652,2652,2652
367,2652,2652,2652
1936,2652,2652,2652
715,2652,2652,2652
1049,2652,2652,2652
923,2652,2652,2652
1837,2652,2652,2652
1918,2652,2652,2652
867,2652,2652,2652
1831,2652,2652,2652
1632,2652,2652,2652
352,2652,2652,2652
98,2652,2652,2652
741,2652,2652,2652
455,2652,2652,2652
42,2652,2652,2652
559,2652,2652,2652
429,2652,2652,2652
2076,2652,2652,2652
577,2652,2652,2652
1400,2652,2652,2652
1914,2652,2652,2652
383,2652,2652,2652
2255,2652,2652,2652
574,2652,2652,2652
1322,2652,2652,2652
1248,2652,2652,2652
136,2652,2652,2652
2455,2652,2652,2652
913,2652,2652,2652
1245,2652,2652,2652
670,2652,2652,2652
712,2652,2652,2652
467,2652,2652,2652
1080,2652,2652,2652
1237,2652,2652,2652
1291,2652,2652,2652
626,2652,2652,2652
34,2652,2652,2652
642,2652,2652,2652
1042,2652,2652,2652
2452,2652,2652,2652
71,2652,2652,2652
345,2652,2652,2652
2210,2652,2652,2652
73,2652,2652,2652
763,2652,2652,2652
1523,2652,2652,2652
1761,2652,2652,2652
1563,2652,2652,2652
88,2652,2652,2652
919,2652,2652,2652
198,2652,2652,2652
1604,2652,2652,2652
1622,2652,2652,2652
2489,2652,2652,2652
13,2652,2652,2652
968,2652,2652,2652
585,2652,2652,2652
708,2652,2652,2652
970,2652,2652,2652
2340,2652,2652,2652
81,2652,2652,2652
221,2652,2652,2652
164,2652,2652,2652
2561,2652,2652,2652
1605,2652,2652,2652
1734,2652,2652,2652
1036,2652,2652,2652
1938,2652,2652,2652
859,2652,2652,2652
219,2652,2652,2652
1235,2652,2652,2652
140,2652,2652,2652
1082,2652,2652,2652
586,2652,2652,2652
1427,2652,2652,2652
16,2652,2652,2652
1981,2652,2652,2652
331,2652,2652,2652
1609,2652,2652,2652
2263,2652,2652,2652
210,2652,2652,2652
953,2652,2652,2652
905,2652,2652,2652
1344,2652,2652,2652
1724,2652,2652,2652
1476,2652,2652,2652
1450,2652,2652,2652
543,2652,2652,2652
2036,2652,2652,2652
1836,2652,2652,2652
276,2652,2652,2652
247,2652,2652,2652
2209,2652,2652,2652
1480,2652,2652,2652
445,2652,2652,2652
1875,2652,2652,2652
2454,2652,2652,2652
1772,2652,2652,2652
1963,2652,2652,2652
419,2652,2652,2652
91,2652,2652,2652
1526,2652,2652,2652
93,2652,2652,2652
1244,2652,2652,2652
1710,2652,2652,2652
76,2652,2652,2652
1973,2652,2652,2652
358,2652,2652,2652
2123,2652,2652,2652
1187,2652,2652,2652
1978,2652,2652,2652
80,2652,2652,2652
1192,2652,2652,2652
1135,2652,2652,2652
971,2652,2652,2652
235,2652,2652,2652
293,2652,2652,2652
139,2652,2652,2652
1501,2652,2652,2652
2307,2652,2652,2652
624,2652,2652,2652
752,2652,2652,2652
926,2652,2652,2652
1607,2652,2652,2652
377,2652,2652,2652
1331,2652,2652,2652
503,2652,2652,2652
627,2652,2652,2652
589,2652,2652,2652
981,2652,2652,2652
1239,2652,2652,2652
1561,2652,2652,2652
236,2652,2652,2652
808,2652,2652,2652
146,2652,2652,2652
1827,2652,2652,2652
374,2652,2652,2652
881,2652,2652,2652
1240,2652,2652,2652
1194,2652,2652,2652
1638,2652,2652,2652
2072,2652,2652,2652
1345,2652,2652,2652
1079,2652,2652,2652
1806,2652,2652,2652
295,2652,2652,2652
391,2652,2652,2652
79,2652,2652,2652
2425,2652,2652,2652
468,2652,2652,2652
2427,2652,2652,2652
887,2652,2652,2652
1016,2652,2652,2652
1658,2652,2652,2652
1078,2652,2652,2652
1608,2652,2652,2652
1454,2652,2652,2652
1107,2652,2652,2652
0,2652,2652,2652
1603,2652,2652,2652
598,2652,2652,2652
2124,2652,2652,2652
1212,2652,2652,2652
357,2652,2652,2652
1131,2652,2652,2652
1883,2652,2652,2652
1664,2652,2652,2652
335,2652,2652,2652
755,2652,2652,2652
1217,2652,2652,2652
578,2652,2652,2652
728,2652,2652,2652
145,2652,2652,2652
673,2652,2652,2652
514,2652,2652,2652
285,2652,2652,2652
102,2652,2652,2652
1703,2652,2652,2652
2257,2652,2652,2652
795,2652,2652,2652
1568,2652,2652,2652
163,2652,2652,2652
205,2652,2652,2652
46,2652,2652,2652
620,2652,2652,2652
172,2652,2652,2652
111,2652,2652,2652
463,2652,2652,2652
147,2652,2652,2652
1277,2652,2652,2652
1183,2652,2652,2652
97,2652,2652,2652
580,2652,2652,2652
1653,2652,2652,2652
2256,2652,2652,2652
330,2652,2652,2652
89,2652,2652,2652
1209,2652,2652,2652
992,2652,2652,2652
1028,2652,2652,2652
1940,2652,2652,2652
671,2652,2652,2652
770,2652,2652,2652
2075,2652,2652,2652
49,2652,2652,2652
1241,2652,2652,2652
490,2652,2652,2652
162,2652,2652,2652
212,2652,2652,2652
208,2652,2652,2652
554,2652,2652,2652
1275,2652,2652,2652
1349,2652,2652,2652
1095,2652,2652,2652
50,2652,2652,2652
43,2652,2652,2652
1321,2652,2652,2652
1290,2652,2652,2652
1706,2652,2652,2652
904,2652,2652,2652
1214,2652,2652,2652
2380,2652,2652,2652
1293,2652,2652,2652
997,2652,2652,2652
754,2652,2652,2652
1982,2652,2652,2652
414,2652,2652,2652
2341,2652,2652,2652
53,2652,2652,2652
286,2652,2652,2652
301,2652,2652,2652
619,2652,2652,2652
975,2652,2652,2652
161,2652,2652,2652
1046,2652,2652,2652
1219,2652,2652,2652
323,2652,2652,2652
144,2652,2652,2652
143,2652,2652,2652
830,2652,2652,2652
1258,2652,2652,2652
888,2652,2652,2652
343,2652,2652,2652
1447,2652,2652,2652
2531,2652,2652,2652
473,2652,2652,2652
1771,2652,2652,2652
497,2652,2652,2652
2393,2652,2652,2652
1023,2652,2652,2652
2379,2652,2652,2652
475,2652,2652,2652
209,2652,2652,2652
722,2652,2652,2652
48,2652,2652,2652
2564,2652,2652,2652
272,2652,2652,2652
771,2652,2652,2652
1808,2652,2652,2652
906,2652,2652,2652
803,2652,2652,2652
498,2652,2652,2652
1867,2652,2652,2652
1972,2652,2652,2652
1668,2652,2652,2652
942,2652,2652,2652
810,2652,2652,2652
344,2652,2652,2652
614,2652,2652,2652
2468,2652,2652,2652
322,2652,2652,2652
832,2652,2652,2652
243,2652,2652,2652
1117,2652,2652,2652
17,2652,2652,2652
2081,2652,2652,2652
2347,2652,2652,2652
588,2652,2652,2652
141,2652,2652,2652
668,2652,2652,2652
536,2652,2652,2652
560,2652,2652,2652
858,2652,2652,2652
1828,2652,2652,2652
77,2652,2652,2652
1780,2652,2652,2652
1807,2652,2652,2652
1704,2652,2652,2652
753,2652,2652,2652
40,2652,2652,2652
643,2652,2652,2652
1478,2652,2652,2652
213,2652,2652,2652
751,2652,2652,2652
1534,2652,2652,2652
315,2652,2652,2652
1368,2652,2652,2652
51,2652,2652,2652
654,2652,2652,2652
1271,2652,2652,2652
2061,2652,2652,2652
772,2652,2652,2652
324,2652,2652,2652
2318,2652,2652,2652
2613,그리드3649,2652,3649
