,grid,rank,grid_tmp
2611,그리드3647,2630,3647
2193,그리드2930,2632,2930
2511,그리드3403,2635,3403
2293,그리드3056,2637,3056
1103,2652,2652,2652
818,2652,2652,2652
309,2652,2652,2652
1634,2652,2652,2652
800,2652,2652,2652
1309,2652,2652,2652
1477,2652,2652,2652
879,2652,2652,2652
2041,2652,2652,2652
1020,2652,2652,2652
1988,2652,2652,2652
2045,2652,2652,2652
266,2652,2652,2652
1527,2652,2652,2652
2277,2652,2652,2652
2231,2652,2652,2652
1572,2652,2652,2652
1260,2652,2652,2652
797,2652,2652,2652
2600,2652,2652,2652
1380,2652,2652,2652
666,2652,2652,2652
630,2652,2652,2652
1314,2652,2652,2652
2226,2652,2652,2652
2603,2652,2652,2652
1821,2652,2652,2652
1433,2652,2652,2652
700,2652,2652,2652
1835,2652,2652,2652
2482,2652,2652,2652
2129,2652,2652,2652
2097,2652,2652,2652
1370,2652,2652,2652
872,2652,2652,2652
268,2652,2652,2652
385,2652,2652,2652
994,2652,2652,2652
2590,2652,2652,2652
1878,2652,2652,2652
852,2652,2652,2652
1421,2652,2652,2652
2354,2652,2652,2652
1097,2652,2652,2652
2639,2652,2652,2652
1677,2652,2652,2652
855,2652,2652,2652
1810,2652,2652,2652
1154,2652,2652,2652
2618,2652,2652,2652
2334,2652,2652,2652
701,2652,2652,2652
2382,2652,2652,2652
1820,2652,2652,2652
1362,2652,2652,2652
964,2652,2652,2652
1152,2652,2652,2652
1591,2652,2652,2652
1675,2652,2652,2652
782,2652,2652,2652
2608,2652,2652,2652
1422,2652,2652,2652
1257,2652,2652,2652
625,2652,2652,2652
683,2652,2652,2652
2224,2652,2652,2652
1207,2652,2652,2652
672,2652,2652,2652
1072,2652,2652,2652
1206,2652,2652,2652
1360,2652,2652,2652
1325,2652,2652,2652
1995,2652,2652,2652
1637,2652,2652,2652
1336,2652,2652,2652
2458,2652,2652,2652
1369,2652,2652,2652
157,2652,2652,2652
2179,2652,2652,2652
2537,2652,2652,2652
2396,2652,2652,2652
1927,2652,2652,2652
2645,2652,2652,2652
2270,2652,2652,2652
1989,2652,2652,2652
2541,2652,2652,2652
1308,2652,2652,2652
1319,2652,2652,2652
149,2652,2652,2652
1466,2652,2652,2652
1819,2652,2652,2652
2539,2652,2652,2652
1119,2652,2652,2652
431,2652,2652,2652
1929,2652,2652,2652
2084,2652,2652,2652
1320,2652,2652,2652
1180,2652,2652,2652
1178,2652,2652,2652
1284,2652,2652,2652
2035,2652,2652,2652
2242,2652,2652,2652
2570,2652,2652,2652
965,2652,2652,2652
1307,2652,2652,2652
117,2652,2652,2652
1579,2652,2652,2652
1256,2652,2652,2652
1358,2652,2652,2652
2578,2652,2652,2652
1416,2652,2652,2652
1886,2652,2652,2652
1946,2652,2652,2652
1190,2652,2652,2652
910,2652,2652,2652
1414,2652,2652,2652
2079,2652,2652,2652
1784,2652,2652,2652
2474,2652,2652,2652
2314,2652,2652,2652
1305,2652,2652,2652
2602,2652,2652,2652
898,2652,2652,2652
1058,2652,2652,2652
1104,2652,2652,2652
675,2652,2652,2652
656,2652,2652,2652
1625,2652,2652,2652
2222,2652,2652,2652
1420,2652,2652,2652
1269,2652,2652,2652
1868,2652,2652,2652
1347,2652,2652,2652
2615,2652,2652,2652
364,2652,2652,2652
1518,2652,2652,2652
2566,2652,2652,2652
1525,2652,2652,2652
450,2652,2652,2652
451,2652,2652,2652
2502,2652,2652,2652
1048,2652,2652,2652
1678,2652,2652,2652
341,2652,2652,2652
1839,2652,2652,2652
2632,2652,2652,2652
1051,2652,2652,2652
6,2652,2652,2652
2438,2652,2652,2652
1262,2652,2652,2652
2378,2652,2652,2652
19,2652,2652,2652
2463,2652,2652,2652
318,2652,2652,2652
834,2652,2652,2652
1011,2652,2652,2652
2580,2652,2652,2652
12,2652,2652,2652
434,2652,2652,2652
406,2652,2652,2652
325,2652,2652,2652
1922,2652,2652,2652
1865,2652,2652,2652
1015,2652,2652,2652
2532,2652,2652,2652
980,2652,2652,2652
1916,2652,2652,2652
1890,2652,2652,2652
2416,2652,2652,2652
1829,2652,2652,2652
1725,2652,2652,2652
721,2652,2652,2652
251,2652,2652,2652
2628,2652,2652,2652
1976,2652,2652,2652
2077,2652,2652,2652
1687,2652,2652,2652
1003,2652,2652,2652
796,2652,2652,2652
1779,2652,2652,2652
407,2652,2652,2652
361,2652,2652,2652
1044,2652,2652,2652
1468,2652,2652,2652
1636,2652,2652,2652
1211,2652,2652,2652
893,2652,2652,2652
733,2652,2652,2652
1464,2652,2652,2652
2599,2652,2652,2652
233,2652,2652,2652
780,2652,2652,2652
2145,2652,2652,2652
279,2652,2652,2652
1243,2652,2652,2652
317,2652,2652,2652
2505,2652,2652,2652
581,2652,2652,2652
2568,2652,2652,2652
404,2652,2652,2652
1765,2652,2652,2652
1373,2652,2652,2652
2112,2652,2652,2652
1386,2652,2652,2652
1324,2652,2652,2652
1583,2652,2652,2652
326,2652,2652,2652
2529,2652,2652,2652
2535,2652,2652,2652
167,2652,2652,2652
1584,2652,2652,2652
409,2652,2652,2652
31,2652,2652,2652
287,2652,2652,2652
2620,2652,2652,2652
2397,2652,2652,2652
4,2652,2652,2652
360,2652,2652,2652
288,2652,2652,2652
280,2652,2652,2652
851,2652,2652,2652
2471,2652,2652,2652
428,2652,2652,2652
948,2652,2652,2652
495,2652,2652,2652
2080,2652,2652,2652
99,2652,2652,2652
880,2652,2652,2652
2587,2652,2652,2652
500,2652,2652,2652
2130,2652,2652,2652
2625,2652,2652,2652
2493,2652,2652,2652
2637,2652,2652,2652
1263,2652,2652,2652
762,2652,2652,2652
1149,2652,2652,2652
449,2652,2652,2652
36,2652,2652,2652
1977,2652,2652,2652
1769,2652,2652,2652
871,2652,2652,2652
1570,2652,2652,2652
2633,2652,2652,2652
1941,2652,2652,2652
218,2652,2652,2652
56,2652,2652,2652
2643,2652,2652,2652
1376,2652,2652,2652
773,2652,2652,2652
452,2652,2652,2652
69,2652,2652,2652
18,2652,2652,2652
827,2652,2652,2652
1253,2652,2652,2652
1101,2652,2652,2652
1897,2652,2652,2652
270,2652,2652,2652
11,2652,2652,2652
928,2652,2652,2652
398,2652,2652,2652
1515,2652,2652,2652
1096,2652,2652,2652
1818,2652,2652,2652
1789,2652,2652,2652
86,2652,2652,2652
699,2652,2652,2652
1462,2652,2652,2652
1252,2652,2652,2652
1641,2652,2652,2652
1861,2652,2652,2652
1969,2652,2652,2652
1786,2652,2652,2652
1685,2652,2652,2652
1680,2652,2652,2652
2078,2652,2652,2652
1575,2652,2652,2652
